Host_ReportedName,IUCNsp_recognized,IUCN_name,host_type,host_stage,taxon_level,database_genus,order_name,family_name,genus_name,category,synonymization_source,host_stage_source
gray fox,YES,Urocyon cinereoargenteus,WILD,not_detected,species,Urocyon,CARNIVORA,CANIDAE,Urocyon,LC,,
Gray fox,YES,Urocyon cinereoargenteus,WILD,not_detected,species,Urocyon,CARNIVORA,CANIDAE,Urocyon,LC,,
gray foxes,YES,Urocyon cinereoargenteus,WILD,not_detected,species,Urocyon,CARNIVORA,CANIDAE,Urocyon,LC,,
Homo sapiens,YES,Homo sapiens,WILD,aberrant,species,Homo,PRIMATES,HOMINIDAE,Homo,LC,,
Horse,NO,Equus caballus,DOMESTIC,deadend,species,Equus,PERISSODACTYLA,Equidae,Equus,NA,,
horse,NO,Equus caballus,DOMESTIC,deadend,species,Equus,PERISSODACTYLA,Equidae,Equus,NA,,
Hyaena hyaena,YES,Hyaena hyaena,WILD,definitive,species,Hyaena,CARNIVORA,HYAENIDAE,Hyaena,NT,,
Hyena hyena,YES,Hyaena hyaena,WILD,definitive,species,Hyaena,CARNIVORA,HYAENIDAE,Hyaena,NT,,
Japanese monkeys,YES,Macaca fuscata,WILD,aberrant,species,Macaca,PRIMATES,CERCOPITHECIDAE,Macaca,LC,,
Lagurus lagurus,YES,Lagurus lagurus,WILD,intermediate,species,Lagurus,RODENTIA,CRICETIDAE,Lagurus,LC,,
Lagurus sp.,YES,Lagurus,WILD,intermediate,genus,Lagurus,RODENTIA,CRICETIDAE,Lagurus,NA,,
Lasiopodomys brandtii,YES,Lasiopodomys brandtii,WILD,intermediate,species,Lasiopodomys,RODENTIA,CRICETIDAE,Lasiopodomys,LC,,
Lemmus sibiricus,YES,Lemmus sibiricus,WILD,intermediate,species,Lemmus,RODENTIA,CRICETIDAE,Lemmus,LC,,
Lemmus sp.,YES,Lemmus,WILD,intermediate,genus,Lemmus,RODENTIA,CRICETIDAE,Lemmus,NA,,
Lemmus trimucronatus,YES,Lemmus trimucronatus,WILD,intermediate,species,Lemmus,RODENTIA,CRICETIDAE,Lemmus,LC,,
Lemur,YES,Lemur,WILD,aberrant,genus,Lemur,PRIMATES,LEMURIDAE,Lemur,NA,,
Lemur catta,YES,Lemur catta,WILD,aberrant,species,Lemur,PRIMATES,LEMURIDAE,Lemur,EN,,
Lepus capensis,YES,Lepus capensis,WILD,intermediate,species,Lepus,LAGOMORPHA,LEPORIDAE,Lepus,LC,,
Lepus europaeus,YES,Lepus europaeus,WILD,intermediate,species,Lepus,LAGOMORPHA,LEPORIDAE,Lepus,LC,,
Lepus oiostolus,YES,Lepus oiostolus,WILD,intermediate,species,Lepus,LAGOMORPHA,LEPORIDAE,Lepus,LC,,
Lynx,YES,Lynx,WILD,not_detected,genus,Lynx,CARNIVORA,FELIDAE,Lynx,NA,,
Lynx rufus,YES,Lynx rufus,WILD,not_detected,species,Lynx,CARNIVORA,FELIDAE,Lynx,LC,,
Macaca fascicularis,YES,Macaca fascicularis,WILD,deadend,species,Macaca,PRIMATES,CERCOPITHECIDAE,Macaca,LC,,
Macaca fuscata,YES,Macaca fuscata,WILD,deadend,species,Macaca,PRIMATES,CERCOPITHECIDAE,Macaca,LC,,
Macaca mulatta,YES,Macaca mulatta,WILD,deadend,species,Macaca,PRIMATES,CERCOPITHECIDAE,Macaca,LC,,
Macaca nigra,YES,Macaca nigra,WILD,deadend,species,Macaca,PRIMATES,CERCOPITHECIDAE,Macaca,CR,,
Macaca sylvanus,YES,Macaca sylvanus,WILD,deadend,species,Macaca,PRIMATES,CERCOPITHECIDAE,Macaca,EN,,
Macropus rufogriseus,YES,Macropus rufogriseus,WILD,unknown,species,Macropus,DIPROTODONTIA,MACROPODIDAE,Macropus,LC,,
Marmota himalayana,YES,Marmota himalayana,WILD,not_detected,species,Marmota,RODENTIA,SCIURIDAE,Marmota,LC,,
Martes foina,YES,Martes foina,WILD,definitive,species,Martes,CARNIVORA,MUSTELIDAE,Martes,LC,,
Martes martes,YES,Martes martes,WILD,definitive,species,Martes,CARNIVORA,MUSTELIDAE,Martes,LC,,
Meles meles,YES,Meles meles,WILD,definitive,species,Meles,CARNIVORA,MUSTELIDAE,Meles,LC,,
Meriones meridianus,YES,Meriones meridianus,WILD,intermediate,species,Meriones,RODENTIA,MURIDAE,Meriones,LC,,
Meriones unguiculatus,YES,Meriones unguiculatus,WILD,intermediate,species,Meriones,RODENTIA,MURIDAE,Meriones,LC,,
Mesocricetus auratus,YES,Mesocricetus auratus,WILD,intermediate,species,Mesocricetus,RODENTIA,CRICETIDAE,Mesocricetus,VU,,
Microtus,YES,Microtus,WILD,intermediate,genus,Microtus,RODENTIA,CRICETIDAE,Microtus,NA,,
Microtus abbreviatus,YES,Microtus abbreviatus,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
Microtus agrestis,YES,Microtus agrestis,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
Microtus arvalis,YES,Microtus arvalis,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
Microtus fuscus,YES,Lasiopodomys fuscus ,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Lasiopodomys,LC,"Li JQ, Li L, Fu BQ, Yan HB, Jia WZ. Complete mitochondrial genomes confirm the generic placement of the plateau vole, Neodon fuscus. Bioscience reports. 2019 Aug 30;39(8).",
Microtus irani,YES,Microtus irani,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,DD,,
Microtus levis,YES,Microtus levis,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
Microtus limnophilus,YES,Microtus limnophilus,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
Microtus oeconomus,YES,Microtus oeconomus,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
Microtus pennsylvanicus,YES,Microtus pennsylvanicus,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
Microtus richardsoni,YES,Microtus richardsoni,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
Microtus sp.,YES,Microtus,WILD,intermediate,genus,Microtus,RODENTIA,CRICETIDAE,Microtus,NA,,
Microtus spp,YES,Microtus,WILD,intermediate,genus,Microtus,RODENTIA,CRICETIDAE,Microtus,NA,,
Microtus spp.,YES,Microtus,WILD,intermediate,genus,Microtus,RODENTIA,CRICETIDAE,Microtus,NA,,
Microtus transcaspicus,YES,Microtus transcaspicus,WILD,intermediate,species,Microtus,RODENTIA,CRICETIDAE,Microtus,LC,,
monkey,YES,Callimico goeldii,WILD,aberrant,species,Callimico,PRIMATES,CALLITRICHIDAE,Callimico,VU,,
mouse,YES,Mus musculus,WILD,intermediate,species,Mus,RODENTIA,MURIDAE,Mus,LC,,
Mus musculus,YES,Mus musculus,WILD,intermediate,species,Mus,RODENTIA,MURIDAE,Mus,LC,,
Mustela erminea,YES,Mustela erminea,WILD,definitive,species,Mustela,CARNIVORA,MUSTELIDAE,Mustela,LC,,
Myocastor coypus,YES,Myocastor coypus,WILD,aberrant,species,Myocastor,RODENTIA,MYOCASTORIDAE,Myocastor,LC,,Janovsky et al. 2002
Myodes gapperi,YES,Myodes gapperi,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
Myodes glareolus,YES,Myodes glareolus,WILD,intermediate,species,Myodes,RODENTIA,CRICETIDAE,Myodes,LC,,
